run_id,floor,exp_gain,enemies,time_taken,fatigue,timestamp
0,0,0,5,10176,1,10176
1,1,211.338181,5,8072.12207,0,86418248
2,2,279.135895,5,13366.19824,0,172831616
3,3,352.230286,6,21437.09766,1,259253056
4,4,408.926697,7,31095.55078,2,345684160
5,5,455.251068,8,33753.65625,1,432117920
6,6,494.417725,9,40550.87109,1,518558464
7,7,634.014526,9,46989.67969,1,605005440
8,8,558.27179,10,49638.74219,0,691455104
9,9,585.041809,11,55399.0625,0,777910528
10,10,609.258362,12,67024.96094,0,864377536
11,11,631.366211,13,69987.74219,0,950847552
12,12,651.70343,14,79613.22656,0,1037327168
13,11,631.366211,15,120012.25,4,1123847168
14,12,651.70343,16,109245.5859,2,1210356352
15,13,670.532898,17,132572.0625,3,1296888960
16,14,688.062622,18,121258.3516,1,1383410176
17,15,704.460571,20,126928.7734,1,1469937152
18,16,719.864075,21,151652.75,2,1556488832
19,17,734.386963,22,160628.5469,2,1643049472
20,18,748.124329,23,180394.0469,2,1729629824
21,17,734.386963,24,172991.625,2,1816202752
22,18,748.124329,25,160441.5625,0,1902763136
23,19,761.156982,26,186320.4844,1,1989349504
24,20,773.55365,27,220942.125,2,2075970432
25,19,761.156982,29,236454.7969,3,2162606848
26,20,773.55365,30,214100.5625,1,2249220864
27,19,761.156982,31,235454.3281,2,2335856384
28,20,773.55365,32,213919.4688,0,2422470400
29,21,785.373413,33,252044.3438,1,2509122560
30,22,796.667725,34,319642.4688,4,2595842304
31,21,785.373413,35,323016.125,4,2682565376
32,20,773.55365,37,312382.2188,3,2769277696
33,21,785.373413,38,300777.625,2,2855978496
34,20,773.55365,39,320921.9375,3,2942699520
35,21,785.373413,40,352674.6563,3,3029452288
36,22,796.667725,41,387440.1875,4,3116239616
37,21,785.373413,42,375004.5,3,3203014656
38,20,773.55365,44,385933.5938,4,3289800704
39,19,761.156982,45,354121.1875,2,3376554752
40,20,773.55365,46,287398.7813,0,3463242240
41,21,785.373413,47,331758.5938,1,3549974016
42,22,796.667725,48,351126.75,1,3636725248
43,21,785.373413,49,382006.25,2,3723507200
44,22,796.667725,51,399012.25,2,3810306304
45,21,785.373413,52,479961.4375,4,3897186304
46,20,773.55365,53,469570.9375,4,3984055808
47,19,761.156982,54,425630.5313,2,4070881536
48,18,748.124329,55,421650.625,2,4157703168
49,19,761.156982,56,407697.0625,1,4244510976
50,18,748.124329,57,465895.1875,3,4331376640
51,19,761.156982,59,476981.25,3,4418253824
52,20,773.55365,60,477093.375,2,4505131008
53,19,761.156982,61,522784.7813,3,4592053760
54,20,773.55365,62,499012.3125,2,4678952960
